"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1505 ""Московская городская педагогическая гимназия-лаборатория"""
"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1690 ""Преображенская школа"""
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1195
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1238
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1214
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1248
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1293
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и английского языка № 1307
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и немецкого языка № 1308
"Государственное бюджетное образовательное учреждение города Москвы центр образования ""Школа здоровья"" № 1317"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1400
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1541
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1542
Государственное бюджетное образовательное учреждение Московская гимназия на Юго-Западе № 1543
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1567
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1741
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1933
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1973
"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 1975"
Государственное бюджетное образовательное учреждение города Москвы центр образования № 1816
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1726
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 743
"Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат ""Навигацкая школа"""
Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования № 42
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 230 имени С.В.Милашенкова
